Person ID,Timestamp 60,Timestamp 120,Timestamp 180,Timestamp 240,Timestamp 300,Timestamp 360,Timestamp 420,Timestamp 480
0,1,0,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
2,1,1,1,1,1,0,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,0,0
5,0,0,1,1,1,1,1,1
6,0,1,1,1,1,1,1,1
7,1,1,1,1,1,1,0,1
8,1,1,1,1,1,1,1,1
9,1,0,1,1,1,0,1,1
10,1,1,1,1,1,1,1,1
11,1,0,1,1,1,1,1,1
12,1,1,1,1,1,1,0,1
13,1,1,1,1,0,0,1,1
14,1,0,1,1,1,1,1,0
15,1,1,0,1,1,1,0,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,0,1,1,1,1,1,1,1
19,0,0,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1
21,0,1,1,1,1,1,1,0
22,0,1,1,1,1,1,1,1
23,0,1,1,1,1,1,1,1
24,1,1,1,1,1,0,1,1
25,1,1,1,1,1,1,0,0
26,1,0,1,1,1,1,1,1
27,1,1,1,1,1,1,1,0
28,0,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,0
30,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,0,1
32,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,0
37,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,0
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,1,1,1,0,0,1,1,1
42,1,1,0,1,1,1,1,0
43,1,1,1,0,1,1,1,1
44,0,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1
46,0,0,1,1,1,1,0,0
47,1,1,1,1,1,1,1,1
48,0,1,0,1,1,1,1,1
49,1,0,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
51,1,0,1,1,1,0,1,1
52,0,0,1,1,1,1,1,1
53,1,1,1,1,1,1,1,0
54,0,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1
58,1,1,1,1,1,1,1,1
59,1,1,1,0,1,1,1,1
60,0,1,1,1,1,1,1,0
61,1,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1,0
63,1,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1,1
65,1,0,0,1,1,1,0,1
66,1,1,1,1,1,1,1,0
67,1,1,1,1,1,1,1,1
68,1,1,1,1,1,1,1,1
69,1,1,1,1,1,1,1,1
70,1,0,1,0,1,1,1,1
71,1,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1,1
73,1,0,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,0
76,1,1,1,1,1,1,1,1
77,1,1,1,1,1,0,1,1
78,1,1,1,1,1,1,1,1
79,1,1,0,1,1,1,1,1
80,1,1,1,1,1,1,1,1
81,1,1,1,1,1,1,1,1
82,1,1,1,1,1,1,1,1
83,1,1,1,1,1,1,1,1
84,1,1,1,1,1,1,1,1
85,1,1,1,1,1,0,1,1
86,1,1,1,1,1,1,1,1
87,1,1,0,1,1,1,1,1
88,1,1,1,0,0,1,1,1
89,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1
91,1,1,1,1,1,0,1,1
92,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1
94,1,1,0,0,1,1,1,1
95,1,1,1,1,1,1,1,1
96,0,0,1,1,1,1,1,1
97,1,0,1,1,1,1,1,1
98,0,1,1,1,1,1,1,1
99,1,1,1,0,1,1,1,1
100,1,1,1,1,1,1,1,1
101,1,0,1,1,1,1,1,1
102,1,1,1,1,1,0,1,1
103,1,0,1,0,1,1,1,1
104,1,1,1,1,1,1,1,1
105,1,0,1,1,1,1,1,1
106,1,1,1,1,1,1,0,1
107,1,1,1,1,1,1,1,0
108,0,1,1,1,1,1,0,0
109,1,0,1,1,0,1,1,1
110,1,0,1,1,1,1,1,1
111,1,0,0,0,0,0,1,1
112,1,0,1,1,1,1,1,1
113,1,1,1,1,1,1,1,1
114,1,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1,1
116,1,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1
120,1,1,0,1,1,1,1,1
121,1,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,1
124,0,1,1,1,1,1,1,1
125,1,1,1,1,0,1,1,0
126,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,0,1
128,1,1,1,1,1,1,1,1
129,1,1,1,1,1,1,1,1
130,1,1,1,1,1,1,0,1
131,1,1,1,1,0,1,1,1
132,1,1,1,1,0,1,1,1
133,1,1,1,1,1,1,1,1
134,1,1,1,1,1,0,1,1
135,0,1,1,1,1,1,1,1
136,1,0,0,1,1,0,0,1
137,1,1,1,1,0,0,1,0
138,1,1,1,1,1,0,1,1
139,1,1,1,1,1,1,1,1
140,1,1,1,0,1,1,1,1
141,1,1,1,0,1,1,1,0
142,1,1,1,1,1,1,1,1
143,1,1,1,1,1,1,1,1
144,0,1,1,1,1,1,1,1
145,1,1,1,1,1,1,1,1
146,1,1,1,1,1,1,1,1
147,1,1,1,1,1,1,1,1
148,0,1,1,1,1,1,0,1
149,1,1,1,1,1,1,0,1
150,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1
152,1,1,0,1,1,0,1,1
153,1,1,1,0,0,1,1,1
154,1,1,1,1,1,1,1,1
155,1,1,1,1,1,1,1,1
156,1,1,1,1,0,1,1,1
157,1,1,1,1,1,1,1,1
158,1,1,1,0,1,1,1,1
159,1,0,1,1,1,1,1,1
160,1,1,1,1,1,1,0,1
161,1,1,1,1,1,1,1,1
162,1,1,1,1,1,1,1,1
163,1,1,1,1,1,1,1,1
164,1,1,1,1,1,1,0,1
165,1,0,1,1,1,1,0,1
166,1,1,1,1,1,1,1,1
167,1,0,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1
169,0,1,1,1,1,1,1,1
170,0,1,1,1,0,1,1,1
171,1,1,1,1,0,0,1,1
172,1,1,1,1,1,1,1,0
173,1,1,1,1,1,1,1,1
174,1,1,1,1,1,1,0,1
175,1,1,1,1,1,1,1,1
176,1,1,1,1,1,1,1,1
177,1,1,0,1,1,1,1,1
178,0,1,1,1,1,1,1,1
179,1,1,1,1,1,1,1,1
180,1,0,1,1,1,0,1,1
181,1,1,0,1,0,1,0,1
182,1,1,0,1,1,1,1,0
183,1,1,1,1,1,1,1,1
184,1,1,1,1,1,1,1,1
185,1,1,1,1,1,0,1,1
186,1,1,1,1,0,1,1,0
187,1,1,1,1,1,1,1,1
188,1,0,1,1,1,1,1,1
189,1,1,1,1,1,0,0,1
190,0,1,1,1,1,1,1,1
191,1,1,1,1,1,1,0,1
192,1,1,1,1,0,0,1,1
193,1,0,1,1,1,1,1,1
194,1,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1,1
196,1,1,1,1,1,1,0,1
197,1,1,0,1,1,1,1,1
198,1,1,0,1,1,1,1,1
199,1,1,1,1,1,1,1,1
200,0,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1,1
204,1,0,1,1,1,1,1,1
205,1,1,1,1,1,1,1,1
206,0,1,1,1,1,1,1,1
207,1,0,1,1,1,1,1,1
208,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1
210,1,1,1,1,1,1,1,1
211,1,1,1,1,1,1,1,1
212,1,1,1,1,1,1,1,1
213,1,1,1,1,1,1,1,0
214,1,1,1,1,1,1,1,1
215,1,1,1,1,0,1,1,1
216,1,1,1,0,1,1,1,1
217,1,0,0,1,1,0,1,1
218,1,1,0,1,1,0,1,0
219,1,1,1,0,1,1,0,1
220,1,1,1,1,1,1,0,1
221,1,1,1,1,1,1,1,1
222,0,1,1,1,1,1,1,1
223,1,1,1,1,1,1,1,1
224,0,1,1,1,1,1,1,1
225,1,1,1,1,1,1,1,1
226,1,0,0,1,0,1,1,1
227,1,1,1,1,1,0,1,1
228,1,1,1,1,1,1,1,1
229,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1
231,1,1,1,1,1,1,1,1
232,1,1,1,0,1,1,1,1
233,1,0,1,1,0,1,1,1
234,1,1,1,1,1,1,1,1
235,1,1,1,1,1,0,1,1
236,1,1,1,0,1,1,1,1
237,1,1,1,1,1,1,1,1
238,1,1,1,0,1,1,1,1
239,1,1,1,1,1,1,1,1
240,1,1,1,1,1,1,0,0
241,1,1,1,0,1,1,1,1
242,1,1,1,1,1,1,1,0
243,1,1,1,0,1,0,1,1
244,1,1,1,1,1,1,1,1
245,1,1,0,0,1,0,1,1
246,1,1,1,1,1,1,1,0
247,1,1,1,0,1,1,0,1
248,0,1,1,1,1,0,1,1
249,0,0,1,1,1,0,1,1
250,0,1,1,1,1,1,1,1
251,1,1,1,1,1,0,1,1
252,1,1,1,1,1,1,1,1
253,1,0,0,1,1,1,1,1
254,1,1,1,1,1,1,1,1
255,1,0,1,1,1,1,1,0
256,0,1,1,1,1,1,1,0
257,1,1,1,1,1,1,1,1
258,1,1,1,0,1,1,1,0
259,1,1,1,1,1,1,1,1
260,1,1,1,1,1,1,1,1
261,0,1,1,1,0,1,1,1
262,0,1,0,1,1,1,1,1
263,0,1,1,1,1,1,1,1
264,1,1,1,1,1,1,1,1
265,1,0,1,1,1,1,1,1
266,1,1,0,0,1,1,1,1
267,1,1,1,1,0,1,1,1
268,1,1,1,1,1,1,1,1
269,1,1,1,1,0,1,1,1
270,1,1,1,1,1,1,1,1
271,1,1,1,1,1,1,1,1
272,0,1,1,1,1,0,1,1
273,1,1,1,1,1,1,0,1
274,1,0,1,1,1,1,1,1
275,1,1,1,1,1,1,1,1
276,1,1,1,1,1,1,0,1
277,1,1,1,1,1,1,1,1
278,1,0,1,0,0,1,1,1
279,1,1,1,0,1,1,1,1
280,1,1,1,0,0,1,0,1
281,1,1,1,1,1,1,1,1
282,0,1,1,1,1,1,1,1
283,1,1,1,1,1,1,1,1
284,1,1,1,1,1,1,1,1
285,1,1,1,1,1,1,1,1
286,1,1,1,1,1,1,1,1
287,1,0,1,1,1,1,1,1
288,1,0,1,1,1,1,1,1
289,1,1,1,0,0,1,1,0
290,0,1,1,1,1,1,1,1
291,1,1,1,1,1,1,1,0
292,1,1,1,1,1,1,1,1
293,1,1,0,1,1,1,1,1
294,1,1,1,1,1,1,1,1
295,0,1,1,1,1,1,1,1
296,1,1,1,1,1,1,1,1
297,1,1,1,1,1,1,1,1
298,1,1,1,1,1,1,1,1
299,0,1,1,1,1,1,1,1
300,0,1,1,1,1,1,1,1
301,0,1,1,1,1,1,1,1
302,1,1,1,1,1,1,0,1
303,1,1,1,1,1,1,1,1
304,0,1,1,1,1,1,1,1
305,1,1,1,1,0,1,1,1
306,1,1,0,1,1,1,1,1
307,1,1,1,1,1,1,1,1
308,1,1,1,1,1,1,1,1
309,1,1,1,1,1,1,1,1
310,0,0,1,1,0,1,1,1
311,1,1,1,1,1,1,1,1
312,1,1,1,1,1,0,0,1
313,1,1,1,1,1,1,1,1
314,1,1,1,1,1,1,1,1
315,1,1,1,1,1,1,1,1
316,1,1,1,1,1,1,0,1
317,1,1,1,1,1,0,1,1
318,1,0,1,1,1,1,1,1
319,1,1,1,1,1,1,1,1
320,1,1,1,1,1,1,1,1
321,0,0,1,1,1,1,1,0
322,1,1,1,1,1,1,1,1
323,1,0,1,1,1,1,1,1
324,1,1,0,1,1,0,1,1
325,1,1,1,1,1,1,1,1
326,1,1,1,1,1,1,1,1
327,1,1,1,1,1,1,0,1
328,1,1,0,0,1,1,1,0
329,1,1,1,1,1,1,1,1
330,1,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1,1
332,1,1,1,1,0,1,1,1
333,1,1,1,1,1,1,1,1
334,1,1,1,1,1,1,1,1
335,0,1,1,1,1,1,1,1
336,0,1,1,1,1,1,1,1
337,1,1,1,1,1,1,1,1
338,1,1,1,1,1,1,1,1
339,1,1,1,1,1,1,1,1
340,1,1,1,1,1,1,1,1
341,1,1,1,1,1,1,1,1
342,1,1,1,1,1,1,1,1
343,1,1,1,1,0,1,1,1
344,1,1,1,1,1,1,1,1
345,1,1,1,1,1,1,1,1
346,1,1,0,1,1,1,1,1
347,1,0,1,1,1,1,1,1
348,1,1,1,1,1,0,1,0
349,0,1,1,1,1,1,1,1
350,1,1,1,1,1,1,1,1
351,1,1,1,1,1,1,1,1
352,0,0,0,1,1,1,1,1
353,1,1,1,1,1,1,1,1
354,1,1,1,1,1,1,1,1
355,1,1,1,1,1,1,0,1
356,1,1,1,1,1,1,1,1
357,1,1,1,0,1,0,1,1
358,1,1,1,1,1,0,1,1
359,0,0,1,1,1,1,1,1
360,1,1,1,1,1,1,1,1
361,0,1,1,1,1,1,1,1
362,1,1,1,1,1,1,1,1
363,0,1,1,1,1,0,1,1
364,1,1,1,1,1,1,1,1
365,1,1,1,1,1,0,1,1
366,0,1,1,1,1,1,1,1
367,1,1,1,0,0,1,1,0
368,1,1,1,1,1,1,1,0
369,1,0,1,1,1,0,1,1
370,1,1,1,1,1,1,1,1
371,1,1,1,1,1,1,0,1
372,0,1,0,1,1,1,1,0
373,1,1,1,1,1,1,1,1
374,1,1,1,1,1,1,1,1
375,1,0,1,1,0,1,1,1
376,1,1,1,1,1,1,1,0
377,1,0,0,1,1,1,1,1
378,1,1,1,1,1,1,0,1
379,1,1,1,1,1,1,1,1
380,1,1,1,1,1,1,1,1
381,0,0,1,1,1,1,1,1
382,0,1,1,1,1,0,1,1
383,1,1,1,1,1,1,1,1
384,1,1,1,0,1,1,1,1
385,1,1,1,1,1,0,1,1
386,1,1,1,1,1,1,1,1
387,1,1,1,0,1,1,1,1
388,1,1,1,1,1,1,1,1
389,0,1,1,0,1,1,1,1
390,1,1,1,1,1,1,1,1
391,1,1,1,1,1,1,1,0
392,0,1,0,1,1,1,1,1
393,1,1,1,1,1,1,0,1
394,1,1,1,1,1,1,1,1
395,1,1,1,1,1,1,1,1
396,0,0,0,1,1,1,1,1
397,1,1,1,1,1,1,1,1
398,1,1,1,1,1,1,1,1
399,1,1,1,1,1,0,1,1
400,1,1,1,1,1,1,1,1
401,1,1,1,1,1,1,1,1
402,1,0,1,1,1,1,1,1
403,0,1,1,1,1,1,1,0
404,1,1,1,1,1,1,1,0
405,1,0,1,0,1,1,1,1
406,1,1,1,1,1,1,0,1
407,1,1,1,1,1,1,0,0
408,1,1,1,1,1,1,0,1
409,1,1,1,1,1,1,1,1
410,1,1,1,1,1,1,1,1
411,1,1,1,1,1,1,1,1
412,1,1,1,1,1,1,1,1
413,1,1,1,0,1,1,1,1
414,1,1,1,1,1,1,1,1
415,1,0,1,1,0,1,0,1
416,0,1,1,1,1,1,0,1
417,0,1,1,1,1,1,1,1
418,0,1,1,1,1,1,1,1
419,0,1,1,1,1,1,1,1
420,1,1,0,0,1,1,1,1
421,1,1,0,1,1,1,0,0
422,1,1,0,1,1,1,0,1
423,1,1,1,1,1,1,1,1
424,1,0,1,1,1,1,1,1
425,0,1,1,0,1,0,1,1
426,0,1,1,1,1,1,1,1
427,1,1,1,1,1,1,1,1
428,1,1,1,1,1,1,1,1
429,1,1,1,1,1,0,1,1
430,1,1,1,1,1,1,1,1
431,1,1,0,0,1,1,1,1
432,1,0,1,1,1,1,1,1
433,1,1,1,1,1,1,1,1
434,1,1,1,1,1,1,1,1
435,1,1,1,1,1,1,1,1
436,1,1,1,1,1,1,1,1
437,1,1,0,1,1,1,1,1
438,1,1,0,1,1,1,1,1
439,1,1,1,1,1,1,1,1
440,1,1,1,1,1,1,1,1
441,1,1,1,1,1,1,1,1
442,1,1,1,1,1,1,1,1
443,1,1,1,1,1,1,1,1
444,1,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1,0
446,1,1,1,1,1,1,1,1
447,1,1,1,1,1,1,1,1
448,1,0,1,1,1,1,1,1
449,1,1,1,1,0,1,1,1
450,1,1,1,1,1,1,1,1
451,1,1,1,1,1,1,1,1
452,1,1,1,1,1,1,0,1
453,0,1,1,1,1,1,1,1
454,1,1,1,1,1,1,1,1
455,1,1,1,1,1,1,1,1
456,0,1,1,1,1,1,1,1
457,1,1,1,1,1,1,1,1
458,1,1,1,1,1,1,1,1
459,0,1,1,1,1,1,1,1
460,1,1,1,1,1,1,1,1
461,1,0,0,1,0,1,0,1
462,1,1,1,1,1,1,1,1
463,1,1,1,1,1,1,1,0
464,1,1,1,1,1,1,1,1
465,1,1,1,1,1,1,1,1
466,1,1,1,1,1,1,1,1
467,1,1,1,1,1,1,1,1
468,1,1,1,1,0,1,1,1
469,1,1,0,1,0,1,1,1
470,1,1,1,1,1,1,0,1
471,1,0,1,1,0,1,1,1
472,0,1,1,1,1,1,1,1
473,1,1,1,1,1,1,1,0
474,1,1,1,1,1,1,0,1
475,1,1,0,1,1,1,1,0
476,1,1,0,0,1,1,0,0
477,1,1,1,1,1,1,1,1
478,1,1,1,1,0,1,1,1
479,1,1,1,1,1,0,1,1
480,0,1,1,1,1,1,1,1
481,1,1,1,0,1,1,0,1
482,1,1,1,1,1,1,1,1
483,1,1,1,1,0,1,1,1
484,1,1,1,1,1,1,1,1
485,1,1,1,1,1,1,1,1
486,1,1,1,1,1,1,1,1
487,1,1,1,0,1,1,1,1
488,1,1,1,1,1,1,1,1
489,1,1,1,1,1,1,1,1
490,1,0,1,1,0,1,1,1
491,1,0,0,1,1,1,1,1
492,1,1,1,1,1,1,1,1
493,1,1,1,1,1,1,1,1
494,0,1,1,1,1,1,1,0
495,1,1,1,1,0,1,1,1
496,1,1,1,1,1,1,1,1
497,1,1,1,1,1,1,1,1
498,1,1,1,1,1,1,1,1
499,1,1,1,1,1,1,1,1
500,1,1,1,1,1,0,1,1
501,0,1,1,1,1,1,1,1
502,1,1,1,1,1,1,1,1
503,1,1,1,1,1,1,1,1
504,1,1,1,1,1,1,1,1
505,1,1,1,1,1,1,1,0
506,1,1,1,1,1,0,1,1
507,1,1,1,1,1,1,1,1
508,1,1,1,1,1,1,1,1
509,1,1,1,1,1,1,1,1
510,1,1,1,1,1,1,1,1
511,1,1,1,1,1,1,1,0
512,1,1,1,1,1,1,1,1
513,1,1,1,1,1,0,1,1
514,0,0,1,1,1,1,1,1
515,1,0,1,1,1,1,1,1
516,1,1,1,1,1,1,1,1
517,1,1,1,1,1,1,1,1
518,0,1,1,1,1,1,1,1
519,1,1,1,1,1,1,0,1
520,1,1,1,1,1,1,1,1
521,1,1,1,1,1,1,1,1
522,0,1,1,1,1,1,1,1
523,1,1,1,1,1,1,1,1
524,1,1,1,1,0,1,1,1
525,1,1,1,1,1,1,1,1
526,1,1,0,0,1,1,1,1
527,1,1,1,1,1,1,1,1
528,1,1,0,1,1,1,1,1
529,1,0,1,1,1,1,1,1
530,1,1,1,1,1,1,1,1
531,1,1,1,1,1,1,1,1
532,1,0,1,1,1,1,1,1
533,1,1,1,1,1,1,1,1
534,1,1,0,1,1,1,1,1
535,1,1,1,1,1,1,1,0
536,1,1,1,1,1,1,1,1
537,1,1,0,1,1,1,1,1
538,1,1,1,1,1,1,1,1
539,1,1,1,1,1,0,1,1
540,1,1,1,1,0,1,1,1
541,1,1,1,1,1,1,1,0
542,1,0,1,1,1,1,1,1
543,1,1,1,1,1,1,1,1
544,1,1,1,0,1,1,1,1
545,1,1,1,1,1,1,1,1
546,1,1,1,1,1,1,1,1
547,1,1,1,1,1,1,0,1
548,1,1,1,1,1,0,1,1
549,0,1,1,1,1,1,1,1
550,1,1,1,1,1,1,1,1
551,1,1,1,1,1,1,1,1
552,1,0,1,1,1,1,1,1
553,1,1,1,1,1,1,1,1
554,1,1,1,1,1,1,1,1
555,1,0,0,1,1,1,1,1
556,1,1,1,1,1,1,1,1
557,1,1,1,1,1,1,1,1
558,0,1,1,1,1,1,1,0
559,1,1,1,1,1,1,1,1
560,1,1,1,1,1,0,1,1
561,1,1,1,1,1,1,1,1
562,1,1,1,1,1,1,1,0
563,0,0,1,1,1,1,1,1
564,0,1,1,1,1,1,1,0
565,1,1,1,1,1,0,1,1
566,1,1,1,1,1,1,1,1
567,1,0,1,1,1,1,1,1
568,1,1,1,1,1,1,1,1
569,1,1,1,1,1,1,1,1
570,1,1,1,1,1,1,1,1
571,1,1,1,1,1,1,1,1
572,1,1,1,0,1,1,1,1
573,1,1,1,1,0,1,1,1
574,1,1,1,1,1,1,1,0
575,1,1,1,0,1,1,0,1
576,1,1,1,1,0,0,1,1
577,1,1,1,1,1,0,1,1
578,1,0,0,1,1,1,0,1
579,1,1,1,1,1,1,1,1
580,1,1,1,1,1,1,1,1
581,1,1,1,1,1,1,1,1
582,1,0,1,1,1,1,1,1
583,1,1,0,1,1,1,1,1
584,0,1,1,0,1,1,1,1
585,1,1,0,1,1,1,1,1
586,1,1,1,1,0,1,1,1
587,1,1,1,1,1,1,1,1
588,0,1,1,1,1,1,1,1
589,1,1,1,1,1,1,1,1
590,1,0,1,1,1,1,1,1
591,1,1,1,1,1,0,1,0
592,1,1,1,1,1,1,1,1
593,1,1,1,1,1,1,1,1
594,1,1,0,1,1,1,1,1
595,1,1,1,1,1,1,1,0
596,1,1,1,1,1,1,1,1
597,0,1,1,1,1,1,1,1
598,1,1,1,1,1,1,0,1
599,1,1,1,1,0,1,1,1
600,1,1,1,1,0,1,1,1
601,1,1,1,1,1,1,0,1
602,1,1,1,1,0,1,1,1
603,1,1,1,1,1,1,1,1
604,1,1,1,1,1,0,1,1
605,1,1,1,1,1,1,1,0
606,1,1,1,1,1,1,1,1
607,1,0,1,1,1,1,0,1
608,1,1,1,1,1,0,0,1
609,1,1,1,1,1,1,1,1
610,1,1,0,0,1,1,1,0
611,1,1,1,1,1,1,1,1
612,0,1,1,1,1,1,1,1
613,1,1,1,1,1,1,1,0
614,1,1,1,1,0,1,1,0
615,1,0,1,0,0,1,1,1
616,1,1,1,1,1,1,0,1
617,0,0,1,1,0,1,1,1
618,0,0,1,0,0,1,1,1
619,1,1,1,1,1,1,1,1
620,1,1,1,1,1,1,1,0
621,1,1,1,1,1,1,1,1
622,0,1,1,1,1,1,1,1
623,1,1,1,1,0,1,1,1
624,1,1,1,1,1,1,1,1
625,1,1,1,1,1,1,1,1
626,1,1,1,1,0,0,1,1
627,1,1,1,1,1,1,1,1
628,1,1,1,1,1,1,1,1
629,1,1,1,1,1,1,1,1
630,1,1,1,1,1,1,1,1
631,1,1,1,1,1,1,1,0
632,1,1,1,1,1,1,1,1
633,0,1,1,1,1,1,1,1
634,1,0,1,1,1,1,1,1
635,1,1,1,1,1,1,1,1
636,1,1,1,1,1,1,1,1
637,1,1,1,1,1,1,1,1
638,1,1,1,1,1,1,1,1
639,0,1,1,1,1,1,1,0
640,1,1,1,0,1,1,1,1
641,0,1,1,1,1,1,1,1
642,1,1,1,1,1,1,1,1
643,0,1,1,1,1,1,1,1
644,1,1,1,1,1,1,1,1
645,0,1,0,1,1,1,1,1
646,1,0,1,1,0,1,1,1
647,1,1,1,1,1,1,0,1
648,1,1,0,0,1,1,1,1
649,1,1,1,1,0,1,1,1
650,1,1,1,1,1,1,1,0
651,1,1,1,1,1,1,1,1
652,1,1,1,1,1,1,1,1
653,0,1,1,1,0,1,0,1
654,1,1,1,1,0,0,1,1
655,0,1,0,1,1,1,1,1
656,1,1,1,1,1,1,1,1
657,1,1,1,1,1,1,1,1
658,1,1,1,1,1,1,1,1
659,1,1,1,0,1,1,1,1
660,1,1,1,1,1,1,1,0
661,1,1,1,1,1,1,1,0
662,1,1,1,1,1,0,1,1
663,1,1,1,1,0,1,1,1
664,1,1,1,1,1,1,1,1
665,1,1,1,1,1,1,1,1
666,0,1,1,1,1,1,1,0
